Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,-126.803887,-45.472617,90,bottom
C2,100nF,C_0402_1005Metric,-127.526692,-58.211615,180,bottom
C3,100nF,C_0402_1005Metric,-131.803886,-42.760111,90,bottom
C4,10uF,C_0402_1005Metric,-124.199207,-43.439937,0,bottom
C5,1uF,C_0402_1005Metric,-125.755797,-45.475969,90,bottom
C6,100nF,C_0402_1005Metric,-123.286317,-53.025316,-135,bottom
C7,100nF,C_0402_1005Metric,-130.753885,-42.760113,90,bottom
C8,100nF,C_0402_1005Metric,-136.333348,-52.329753,0,bottom
C9,100nF,C_0402_1005Metric,-127.526694,-59.231613,180,bottom
C10,100nF,C_0402_1005Metric,-124.419249,-47.780086,180,bottom
C11,100nF,C_0402_1005Metric,-124.41925,-46.782584,180,bottom
C12,100nF,C_0402_1005Metric,-134.738,-47.780084,0,bottom
C13,1uF,C_0402_1005Metric,-131.841117,-31.628992,0,bottom
C14,1uF,C_0402_1005Metric,-124.224208,-42.289936,180,bottom
C15,22pF,C_0402_1005Metric,-133.146338,-62.014764,45,bottom
C16,22pF,C_0402_1005Metric,-129.476344,-62.354764,135,bottom
C17,100nF,C_0402_1005Metric,-134.745873,-39.473371,90,bottom
C18,100nF,C_0402_1005Metric,-121.327182,-62.760968,0,bottom
D1,D_Small,D_SOD-123,-3.093735,-1.067452,85,bottom
D2,D_Small,D_SOD-123,-22.071244,-2.727765,85,bottom
D3,D_Small,D_SOD-123,-41.214787,-2.490333,85,bottom
D4,D_Small,D_SOD-123,-60.460708,-6.917947,79,bottom
D5,D_Small,D_SOD-123,-79.160708,-10.552858,79,bottom
D6,D_Small,D_SOD-123,-97.860703,-14.187767,79,bottom
D7,D_Small,D_SOD-123,-116.560702,-17.822678,79,bottom
D8,D_Small,D_SOD-123,-161.390871,-16.263588,101,bottom
D9,D_Small,D_SOD-123,-180.090862,-12.628676,101,bottom
D10,D_Small,D_SOD-123,-198.790861,-8.993764,101,bottom
D11,D_Small,D_SOD-123,-217.490858,-5.358853,101,bottom
D12,D_Small,D_SOD-123,-236.594312,-1.936891,95,bottom
D13,D_Small,D_SOD-123,-255.73786,-2.174326,95,bottom
D14,D_Small,D_SOD-123,-284.204121,0.316149,95,bottom
D15,D_Small,D_SOD-123,22.407183,-8.397791,85,bottom
D16,D_Small,D_SOD-123,-4.280046,-20.294008,85,bottom
D17,D_Small,D_SOD-123,-28.001934,-22.369402,85,bottom
D18,D_Small,D_SOD-123,-47.96661,-23.895891,79,bottom
D19,D_Small,D_SOD-123,-66.666611,-27.530807,79,bottom
D20,D_Small,D_SOD-123,-85.366607,-31.165717,79,bottom
D21,D_Small,D_SOD-123,-104.066606,-34.800626,79,bottom
D22,D_Small,D_SOD-123,-154.74078,-36.962786,101,bottom
D23,D_Small,D_SOD-123,-173.440775,-33.327873,101,bottom
D24,D_Small,D_SOD-123,-192.140773,-29.692966,101,bottom
D25,D_Small,D_SOD-123,-210.840773,-26.058051,101,bottom
D26,D_Small,D_SOD-123,-229.540771,-22.423137,101,bottom
D27,D_Small,D_SOD-123,-249.807169,-21.815966,95,bottom
D28,D_Small,D_SOD-123,-268.784677,-20.155647,95,bottom
D29,D_Small,D_SOD-123,-292.506566,-18.08025,95,bottom
D30,D_Small,D_SOD-123,25.965254,-27.209267,85,bottom
D31,D_Small,D_SOD-123,-3.094165,-39.313025,85,bottom
D32,D_Small,D_SOD-123,-29.188241,-41.59596,85,bottom
D33,D_Small,D_SOD-123,-49.006701,-43.504617,79,bottom
D34,D_Small,D_SOD-123,-67.706698,-47.13953,79,bottom
D35,D_Small,D_SOD-123,-86.406693,-50.774438,79,bottom
D36,D_Small,D_SOD-123,-105.106694,-54.409348,79,bottom
D37,D_Small,D_SOD-123,-163.050686,-54.754053,101,bottom
D38,D_Small,D_SOD-123,-181.750685,-51.119144,101,bottom
D39,D_Small,D_SOD-123,-200.450682,-47.484229,101,bottom
D40,D_Small,D_SOD-123,-219.15068,-43.849322,101,bottom
D41,D_Small,D_SOD-123,-239.132106,-41.872677,95,bottom
D42,D_Small,D_SOD-123,-258.109615,-40.212363,95,bottom
D43,D_Small,D_SOD-123,-288.948068,-37.514347,95,bottom
D44,D_Small,D_SOD-123,29.523318,-46.020745,85,bottom
D45,D_Small,D_SOD-123,-4.280475,-58.539579,85,bottom
D46,D_Small,D_SOD-123,-35.118929,-61.237595,85,bottom
D47,D_Small,D_SOD-123,-54.72179,-64.022074,79,bottom
D48,D_Small,D_SOD-123,-73.421786,-67.656982,79,bottom
D49,D_Small,D_SOD-123,-92.121781,-71.291896,79,bottom
D50,D_Small,D_SOD-123,-110.821778,-74.926805,79,bottom
D51,D_Small,D_SOD-123,-157.335599,-75.271507,101,bottom
D52,D_Small,D_SOD-123,-176.035597,-71.636595,101,bottom
D53,D_Small,D_SOD-123,-194.735593,-68.001684,101,bottom
D54,D_Small,D_SOD-123,-213.435595,-64.366772,101,bottom
D55,D_Small,D_SOD-123,-233.201418,-61.514312,95,bottom
D56,D_Small,D_SOD-123,-252.178927,-59.853998,95,bottom
D57,D_Small,D_SOD-123,-278.273003,-57.571064,95,bottom
D58,D_Small,D_SOD-123,-304.367078,-55.288128,95,bottom
D59,D_Small,D_SOD-123,6.868595,-76.686931,85,bottom
D60,D_Small,D_SOD-123,-16.854154,-78.76228,85,bottom
D61,D_Small,D_SOD-123,-71.335985,-86.667497,79,bottom
D62,D_Small,D_SOD-123,-104.063511,-93.021403,79,bottom
D63,D_Small,D_SOD-123,-177.333005,-90.790962,101,bottom
D64,D_Small,D_SOD-123,-214.733005,-83.521133,101,bottom
D65,D_Small,D_SOD-123,-236.760441,-80.32623,95,bottom
D66,D_Small,D_SOD-123,-303.655206,-74.473175,95,bottom
F1,500mA,Fuse_1206_3216Metric,-129.655958,-14.177809,-90,bottom
J1,SM04B-SRSS-TB(LF)(SN),JST-SR-4,-133.823458,-24.966632,0,bottom
J3,USB_C,TYPE-C-31-M-12_RP,-133.36224,-1.028008,0,bottom
L1,WS2812B,WS2812B,-107.979707,-81.443128,-11,bottom
L2,WS2812B,WS2812B,-74.642206,-74.325546,-11,bottom
L3,WS2812B,WS2812B,-41.200041,-68.306999,-5,bottom
L4,WS2812B,WS2812B,-5.830189,-64.634816,-5,bottom
L5,WS2812B,WS2812B,24.716102,-61.904668,-5,bottom
L6,WS2812B,WS2812B,13.108909,-35.111554,-95,bottom
L7,WS2812B,WS2812B,14.536915,-7.49354,175,bottom
L8,WS2812B,WS2812B,-17.830447,-9.87479,175,bottom
L9,WS2812B,WS2812B,-50.408955,-13.049789,169,bottom
L10,WS2812B,WS2812B,-83.094335,-19.399789,169,bottom
L11,WS2812B,WS2812B,-113.256839,-25.749789,169,bottom
L12,WS2812B,WS2812B,-148.640673,-26.543539,-169,bottom
L13,WS2812B,WS2812B,-181.245806,-20.193539,-169,bottom
L14,WS2812B,WS2812B,-213.850938,-13.84354,-169,bottom
L15,WS2812B,WS2812B,-246.221274,-9.874788,-175,bottom
L16,WS2812B,WS2812B,-278.356837,-6.699791,-175,bottom
L17,WS2812B,WS2812B,-273.210545,-37.769431,95,bottom
L18,WS2812B,WS2812B,-286.294338,-63.84979,5,bottom
L19,WS2812B,WS2812B,-252.044157,-65.585568,5,bottom
L20,WS2812B,WS2812B,-217.793976,-68.803381,5,bottom
L21,WS2812B,WS2812B,-182.673553,-74.978529,11,bottom
L22,WS2812B,WS2812B,-148.484163,-83.349872,11,bottom
LC1,100nf,C_0603_1608Metric,-103.228671,-81.353544,-101,bottom
LC2,100nf,C_0603_1608Metric,-69.870439,-74.245242,-101,bottom
LC3,100nf,C_0603_1608Metric,-36.506554,-68.72724,-96,bottom
LC4,100nf,C_0603_1608Metric,-1.051236,-65.03996,-95,bottom
LC5,100nf,C_0603_1608Metric,29.554458,-62.304886,-95,bottom
LC6,100nf,C_0603_1608Metric,13.498185,-30.03289,175,bottom
LC7,100nf,C_0603_1608Metric,9.372513,-7.113018,85,bottom
LC8,100nf,C_0603_1608Metric,-22.273459,-9.430319,84,bottom
LC9,100nf,C_0603_1608Metric,-55.417945,-13.18457,79,bottom
LC10,100nf,C_0603_1608Metric,-88.324505,-19.570506,79,bottom
LC11,100nf,C_0603_1608Metric,-107.984046,-23.926503,79,bottom
LC12,100nf,C_0603_1608Metric,-153.398597,-24.865048,101,bottom
LC13,100nf,C_0603_1608Metric,-185.944906,-18.440405,101,bottom
LC14,100nf,C_0603_1608Metric,-218.849331,-12.060682,101,bottom
LC15,100nf,C_0603_1608Metric,-251.146791,-8.617716,95,bottom
LC16,100nf,C_0603_1608Metric,-283.060421,-5.439573,95,bottom
LC17,100nf,C_0603_1608Metric,-274.408995,-42.330294,5,bottom
LC18,100nf,C_0603_1608Metric,-281.807716,-65.077165,-85,bottom
LC19,100nf,C_0603_1608Metric,-247.22373,-66.839779,-85,bottom
LC20,100nf,C_0603_1608Metric,-213.296588,-70.022412,-85,bottom
LC21,100nf,C_0603_1608Metric,-178.045389,-76.731635,-79,bottom
LC22,100nf,C_0603_1608Metric,-143.876402,-85.050619,-79,bottom
LR1,470,R_0805_2012Metric,-121.82236,-64.893003,180,bottom
MX1,MX-NoLED,MX100H,0,0,175,bottom
MX2,MX-NoLED,MX100H,-18.977509,-1.660316,175,bottom
MX3,MX-NoLED,MX100H,-38.121043,-1.42288,175,bottom
MX4,MX-NoLED,MX100H,-57.495496,-5.532964,169,bottom
MX5,MX-NoLED,MX100H,-76.195498,-9.167869,169,bottom
MX6,MX-NoLED,MX100H,-94.895492,-12.802783,169,bottom
MX7,MX-NoLED,MX100H,-113.595491,-16.437694,169,bottom
MX8,MX-NoLED,MX100H,-158.122745,-16.090241,-169,bottom
MX9,MX-NoLED,MX100H,-176.822745,-12.455331,-169,bottom
MX10,MX-NoLED,MX100H,-195.522739,-8.820417,-169,bottom
MX11,MX-NoLED,MX100H,-214.222735,-5.185502,-169,bottom
MX12,MX-NoLED,MX100H,-233.362215,-1.422884,-175,bottom
MX13,MX-NoLED,MX100H,-252.505754,-1.660317,-175,bottom
MX14,MX-NoLED,MX200H,-280.972023,0.830157,-175,bottom
MX15,MX-NoLED,MX100H,25.500925,-7.330349,175,bottom
MX16,MX-NoLED,MX150H,-1.186308,-19.226559,175,bottom
MX17,MX-NoLED,MX100H,-24.908192,-21.301953,175,bottom
MX18,MX-NoLED,MX100H,-45.001399,-22.510907,169,bottom
MX19,MX-NoLED,MX100H,-63.701402,-26.145818,169,bottom
MX20,MX-NoLED,MX100H,-82.401395,-29.780733,169,bottom
MX21,MX-NoLED,MX100H,-101.101394,-33.415642,169,bottom
MX22,MX-NoLED,MX100H,-151.472657,-36.789437,-169,bottom
MX23,MX-NoLED,MX100H,-170.172651,-33.154525,-169,bottom
MX24,MX-NoLED,MX100H,-188.872651,-29.519616,-169,bottom
MX25,MX-NoLED,MX100H,-207.57265,-25.884705,-169,bottom
MX26,MX-NoLED,MX100H,-226.272647,-22.249789,-169,bottom
MX27,MX-NoLED,MX100H,-246.575071,-21.301956,-175,bottom
MX28,MX-NoLED,MX100H,-265.55258,-19.641638,-175,bottom
MX29,MX-NoLED,MX150H,-289.274464,-17.566244,-175,bottom
MX30,MX-NoLED,MX100H,29.058989,-26.141819,175,bottom
MX31,MX-NoLED,MX175H,-0.000427,-38.245578,175,bottom
MX32,MX-NoLED,MX100H,-26.094499,-40.528513,175,bottom
MX33,MX-NoLED,MX100H,-46.041488,-42.119632,169,bottom
MX34,MX-NoLED,MX100H,-64.741482,-45.754541,169,bottom
MX35,MX-NoLED,MX100H,-83.441481,-49.389455,169,bottom
MX36,MX-NoLED,MX100H,-102.141482,-53.024364,169,bottom
MX37,MX-NoLED,MX100H,-159.782564,-54.580709,-169,bottom
MX38,MX-NoLED,MX100H,-178.482563,-50.945796,-169,bottom
MX39,MX-NoLED,MX100H,-197.182561,-47.310879,-169,bottom
MX40,MX-NoLED,MX100H,-215.88256,-43.675969,-169,bottom
MX41,MX-NoLED,MX100H,-235.900006,-41.358669,-175,bottom
MX42,MX-NoLED,MX100H,-254.877519,-39.698354,-175,bottom
MX43,MX-NoLED,MX225H,-285.715968,-37.000336,-175,bottom
MX44,MX-NoLED,MX100H,32.61706,-44.953301,175,bottom
MX45,MX-NoLED,MX225H,-1.186738,-57.472128,175,bottom
MX46,MX-NoLED,MX100H,-32.025189,-60.170146,175,bottom
MX47,MX-NoLED,MX100H,-51.756576,-62.637083,169,bottom
MX48,MX-NoLED,MX100H,-70.456571,-66.271999,169,bottom
MX49,MX-NoLED,MX100H,-89.15657,-69.906908,169,bottom
MX50,MX-NoLED,MX100H,-107.856568,-73.541821,169,bottom
MX51,MX-NoLED,MX100H,-154.067478,-75.098161,-169,bottom
MX52,MX-NoLED,MX100H,-172.767477,-71.463246,-169,bottom
MX53,MX-NoLED,MX100H,-191.467474,-67.828336,-169,bottom
MX54,MX-NoLED,MX100H,-210.167472,-64.193427,-169,bottom
MX55,MX-NoLED,MX100H,-229.96932,-61.000306,-175,bottom
MX56,MX-NoLED,MX100H,-248.94683,-59.33999,-175,bottom
MX57,MX-NoLED,MX175H,-275.040905,-57.057054,-175,bottom
MX58,MX-NoLED,MX100H,-301.13498,-54.774118,-175,bottom
MX59,MX-NoLED,MX125H,9.962335,-75.619481,175,bottom
MX60,MX-NoLED,MX125H,-13.760415,-77.694831,175,bottom
MX61,MX-NoLED,MX125H,-68.370772,-85.282509,169,bottom
MX62,MX-NoLED,MX225HR,-101.098301,-91.636416,169,bottom
MX63,MX-NoLED,MX275HR,-174.064889,-90.61761,-169,bottom
MX64,MX-NoLED,MX125H,-211.464881,-83.347783,-169,bottom
MX65,MX-NoLED,MX100H,-233.528343,-79.812216,-175,bottom
MX66,MX-NoLED,MX125H,-300.423106,-73.959166,-175,bottom
R1,10k,R_0402_1005Metric,-135.377169,-73.886268,90,bottom
R2,27R,R_0603_1608Metric,-129.080754,-42.621517,-90,bottom
R3,27R,R_0603_1608Metric,-127.494504,-42.621514,-90,bottom
R4,1k,R_0402_1005Metric,-130.127269,-58.437269,45,bottom
R5,1k,R_0402_1005Metric,-147.517508,-41.031913,180,bottom
R6,5.1k,R_0402_1005Metric,-132.290988,-8.437808,0,bottom
R7,5.1k,R_0402_1005Metric,-135.465987,-8.444254,180,bottom
R8,4.7k,R_0805_2012Metric,-273.322251,-76.979143,95,bottom
R9,4.7k,R_0805_2012Metric,-276.339303,-76.715183,-85,bottom
U1,XC6206,SOT-23,-123.55493,-39.720949,90,bottom
U2,RP2040,RP2040-QFN-56,-129.516695,-51.105112,180,bottom
U3,SRV05-4,SOT-23-6-routable,-133.82346,-11.887804,180,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-139.516435,-42.668725,180,bottom
U5,74AHCT1G125,SOT-23-5,-121.79585,-59.463133,-90,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-131.426342,-60.414764,45,bottom
OLED1,SSD1306,SSD1306-0.91-OLED-4pin-128x32,245.129481,-73.727014,5,top
